OrderID,CustomerName,Email,ProductCategory,ProductName,Quantity,UnitPrice,Sales,OrderDate,Shippingcity,Country,PaymentMethod
100036,Tammie Hanson,cortezkevin@example.com,Home & Kitchen,Ceramic Mug Set,6,118.92,713.52,21/01/26,Richardport,Australia,Cash On Delivery
100037,Cheryl Ortega,lbyrd@example.net,Electronics,Bluetooth Speaker,6,27.88,167.28,11/11/25,Kelleytown,NA,Credit Card
100038,Daniel Floyd,steven73@example.net,Beauty,Hair Dryer,2,116.58,233.16,09/01/25,Lake Christopher,U.S.A,Cash On Delivery
100039,,emilywalker@example.org,Electronics,Laptop Stand,8,17.3,138.4,01/06/25,East Traceyland,Canada,Net Banking
100041,Colleen Brock,pwilliams@example.org,Home & Kitchen,Cutting Board,4,72.28,289.12,20/08/25,Contrerasside,U.S.A,Credit Card
100043,,rsims@example.com,Sports,Yoga Mat,7,121.86,853.02,16/11/24,Jimmymouth,Canada,Cash On Delivery
100044,Joshua Taylor,patrickhernandez@example.org,Apparel,Wool Sweater,7,123.98,867.86,11/06/24,Riveramouth,U.S.A,Net Banking
100045,Daniel Fisher,gateskathy@example.com,Beauty,Hair Dryer,1,25.57,25.57,09/04/25,Kennethfurt,U.S.A,Debit Card
100046,Tiffany Barnes,tracynelson@example.com,Beauty,Lipstick Matte,7,73.17,512.19,10/12/24,Elizabethfurt,United Kingdom,Credit Card
100047,Sara Calhoun,meadowsbrittany@example.net,Apparel,Cotton T-Shirt,1,189.79,189.79,10/10/24,Taylormouth,India,NA
100048,David Murphy,wmurphy@example.com,Electronics,Webcam HD,8,176.37,1410.96,04/12/25,Kingland,Australia,Cash On Delivery
100049,Paul Williams,jeffrey10@example.org,Home & Kitchen,Non-Stick Pan,5,146.07,730.35,16/08/26,Port Andrew,Canada,Net Banking
100050,,stevenscott@example.com,Apparel,Cotton T-Shirt,5,213.32,1066.6,21/01/25,Port Loriport,Australia,NA
100051,Alexander Collins,tsanders@example.org,Sports,Water Bottle 1L,5,206.47,1032.35,15/11/24,North Heidi,Canada,Credit Card
100053,Ashley Yu,NA,Beauty,Shampoo 500ml,7,87.42,611.94,11/03/26,Christinaside,U.S.A,Cash On Delivery
100054,Julie Petersen,marcus31@example.com,Home & Kitchen,LED Desk Lamp,5,141.17,705.85,27/06/26,Port Steven,India,Cash On Delivery
100056,Angela Cortez,ppeters@example.net,Home & Kitchen,LED Desk Lamp,5,80.12,400.6,09/04/25,Westtown,United Kingdom,Cash On Delivery
100057,Daniel Holt,NA,Apparel,Denim Jacket,5,182.52,912.6,14/10/25,Barajasside,Australia,Debit Card
100058,Michael Nelson,jerry35@example.org,Home & Kitchen,Ceramic Mug Set,3,72.21,216.63,18/03/26,East Javier,United Kingdom,Credit Card
100059,Dr. William Warren,tina34@example.org,Sports,Water Bottle 1L,8,88.47,707.76,11/06/25,Alexisside,Canada,Credit Card
100060,Angel Brown,heidi27@example.org,Electronics,USB-C Cable,5,25.87,129.35,20/06/26,Taylormouth,NA,Cash On Delivery
100061,Vincent King,ewilson@example.com,Beauty,Sunscreen SPF50,5,215.74,1078.7,15/09/25,East Edwardshire,Australia,Cash On Delivery
100062,Angela Wright,NA,Apparel,Denim Jacket,2,43.48,86.96,03/04/25,Hayesmouth,U.S.A,Upi
100063,Kevin Patterson,lynchjody@example.org,Electronics,USB-C Cable,5,177.23,886.15,22/12/25,Donnaburgh,NA,NA
100064,Juan Moore,mhayes@example.com,Home & Kitchen,Ceramic Mug Set,3,199.19,597.57,21/04/25,West Jasmine,England,Cash On Delivery
100066,Charles Brown,brooke94@example.com,Sports,Dumbbell Set,5,146.18,730.9,20/12/24,Hollyview,Canada,Credit Card
100067,Katherine Miller,prestonjessica@example.net,Beauty,Sunscreen SPF50,8,90.25,722,23/03/25,East Suzanneshire,U.S.A,Cash On Delivery
100068,Unknown,NA,Sports,Yoga Mat,6,66.84,401.04,01/10/26,NA,Australia,Upi
100069,Robert Costa,vbailey@example.com,Apparel,Baseball Cap,8,158.23,1265.84,23/01/26,West Robert,NA,Cash On Delivery
100070,Matthew Morales DDS,gibsonleonard@example.com,Electronics,Wireless Mouse,4,178.9,715.6,14/12/24,Hancocktown,Australia,Credit Card
100071,Kimberly Gutierrez,aprildean@example.com,Electronics,USB-C Cable,5,129.67,648.35,22/12/25,East Josephberg,Canada,Credit Card
100073,Danny Skinner,murraydavid@example.org,Sports,Jump Rope,8,136.95,1095.6,20/09/25,Williamview,Australia,Credit Card
100074,,yarnold@example.org,Sports,Jump Rope,7,15.69,109.83,26/07/26,Port Chad,Canada,NA
100076,Haley Arnold,NA,Apparel,Cotton T-Shirt,5,87.95,439.75,09/07/26,New Patrick,England,Cash On Delivery
100077,Jennifer Flores,zthornton@example.com,Sports,Yoga Mat,4,159.63,638.52,30/06/25,South Tammie,India,Cash On Delivery
100078,Vincent Rivera,sawyerscott@example.net,Beauty,Shampoo 500ml,1,16.27,16.27,18/07/26,Lake Douglasberg,NA,Upi
100079,Richard Baker,vsantos@example.net,Apparel,Denim Jacket,7,156.83,1097.81,06/11/26,Finleyfort,U.S.A,Debit Card
100081,Amber Flynn,michael62@example.org,Beauty,Sunscreen SPF50,7,145.12,1015.84,14/10/25,East Gregory,NA,Net Banking
100082,Janet Vega,jdurham@example.org,Electronics,Webcam HD,5,195.06,975.3,24/08/25,Stevetown,U.S.A,Cash On Delivery
100083,Julie Roberts,charleslandry@example.net,Apparel,Cotton T-Shirt,1,80.69,80.69,27/04/25,Vaughnmouth,United Kingdom,Debit Card
100084,Christina Cruz,yrodriguez@example.net,Beauty,Shampoo 500ml,6,135.06,810.36,06/10/25,Victoriaport,England,Debit Card
100085,Ronald Foster,NA,Beauty,Face Moisturizer,4,215.73,862.92,09/02/26,Wallport,Australia,Upi
100086,Crystal Pham,NA,Home & Kitchen,Cutting Board,6,169.84,1019.04,27/03/26,Lake Colton,Canada,Credit Card
100088,Richard Walter,alyssa42@example.com,Electronics,Bluetooth Speaker,2,28.81,57.62,21/07/26,Coffeyport,NA,Cash On Delivery
100089,Gina Wilson,taylortammy@example.net,Beauty,Hair Dryer,3,221.93,665.79,03/04/26,Coffeyside,Australia,Cash On Delivery
100090,Richard Smith,gibsonemily@example.net,Apparel,Wool Sweater,4,214.59,858.36,31/03/25,Carsonstad,Australia,Credit Card
100092,Tracy Torres,pwilson@example.net,Apparel,Baseball Cap,4,85.5,342,29/12/24,Watsonside,India,Credit Card
100093,Patrick Moore,fpena@example.net,Home & Kitchen,Ceramic Mug Set,1,37.29,37.29,16/07/25,Antoniostad,Australia,Debit Card
100094,Jeremy Young,cory58@example.net,Apparel,Wool Sweater,2,121.68,243.36,06/10/25,Hillville,Australia,Net Banking
100095,Samantha Davis,darleneharper@example.org,Sports,Water Bottle 1L,1,19.9,19.9,27/10/24,Johnberg,Canada,Cash On Delivery
100097,Scott Thomas,amberlindsey@example.org,Beauty,Hair Dryer,2,199.31,398.62,17/01/26,East Alexisbury,U.S.A,Debit Card
100098,Alexis Baker,NA,Beauty,Sunscreen SPF50,6,109.56,657.36,06/11/24,Stricklandhaven,U.S.A,Credit Card
100099,Jodi Walker,acostaregina@example.net,Beauty,Face Moisturizer,6,203.88,1223.28,10/07/25,Schneidertown,Australia,Debit Card
100101,Marcus Richards,oscar98@example.com,Sports,Water Bottle 1L,5,145.65,728.25,18/08/25,Garciaville,Australia,Net Banking
100103,Erik Scott,gloriawells@example.org,Electronics,Wireless Mouse,4,97.17,388.68,22/05/26,South Colinstad,United Kingdom,Net Banking
100104,Kristie Willis,elizabeth65@example.net,Electronics,Wireless Mouse,1,170.12,170.12,08/09/26,Parrishton,Canada,Cash On Delivery
100105,Lindsay Bell,ericolson@example.org,Electronics,Bluetooth Speaker,5,171.16,855.8,06/03/25,Dannyview,NA,NA
100106,Renee Bruce,lynchdiane@example.net,Electronics,USB-C Cable,4,193,772,04/04/25,West Jacqueline,United Kingdom,Cash On Delivery
100107,Gerald Smith,ashleymorales@example.org,Apparel,Denim Jacket,4,127.56,510.24,16/03/26,North Julieborough,India,Credit Card
100108,Jesse Moore,jennifer99@example.org,Electronics,Bluetooth Speaker,7,178.83,1251.81,28/06/26,East Karen,Canada,Net Banking
100109,Brad Ramos,ctucker@example.com,Home & Kitchen,Non-Stick Pan,2,64.61,129.22,04/08/25,West Russellport,India,Credit Card
100111,Donna Wilson,lburgess@example.org,Apparel,Denim Jacket,2,48.4,96.8,25/06/25,New Angelica,Canada,Net Banking
100112,,grahamsteve@example.org,Sports,Water Bottle 1L,6,41.98,251.88,13/06/26,Berrychester,United Kingdom,Credit Card
100114,James Miller,julie35@example.org,Beauty,Hair Dryer,6,153.23,919.38,15/11/24,New Williamstad,Canada,NA
100115,,joelthomas@example.org,Sports,Resistance Bands,5,247.79,1238.95,25/01/25,Port Katherine,U.S.A,Upi
100116,Trevor Burton,wwebster@example.net,Sports,Yoga Mat,6,21.15,126.9,15/08/25,Michellemouth,United Kingdom,Net Banking
100117,Barry Ramos,laura90@example.com,Home & Kitchen,Non-Stick Pan,3,229.6,688.8,26/09/25,Steventon,U.S.A,Net Banking
100119,Erica Alvarez,susanhayes@example.com,Apparel,Denim Jacket,3,23.91,71.73,09/09/26,New Debbieton,Australia,Credit Card
100120,Jeffrey Gonzales,michaelhardin@example.com,Home & Kitchen,Cutting Board,7,42.79,299.53,16/07/25,Erikaton,U.S.A,Debit Card
100121,Maria Jones,grantpaul@example.com,Apparel,Wool Sweater,8,62.33,498.64,03/04/26,West Christopher,U.S.A,Upi
100122,Sydney Collins,tanderson@example.org,Home & Kitchen,Throw Pillow,7,241.74,1692.18,05/05/25,Schneidermouth,U.S.A,Upi
100123,Meagan Calderon,lucasrodney@example.com,Sports,Yoga Mat,2,74.84,149.68,04/10/24,Henryborough,Canada,Upi
100124,Ralph Lee,NA,Apparel,Wool Sweater,1,106.65,106.65,27/09/25,Lake Matthewberg,U.S.A,Credit Card
100125,Brittany White,jenniferwilliams@example.com,Electronics,Bluetooth Speaker,3,14.38,43.14,28/01/26,South Cheryl,U.S.A,NA
100126,Rachel Young,NA,Home & Kitchen,Ceramic Mug Set,7,32.24,225.68,13/07/26,West Erika,India,Cash On Delivery
100127,Jessica Hammond,ashaw@example.org,Beauty,Face Moisturizer,8,151.2,1209.6,05/11/26,Port John,Australia,Credit Card
100128,Shelly Spencer,dawsonzachary@example.org,Home & Kitchen,Ceramic Mug Set,3,167.77,503.31,17/04/25,West Shannon,India,Cash On Delivery
100129,Sandra Davis,lisawilkerson@example.org,Home & Kitchen,LED Desk Lamp,6,198.19,1189.14,21/07/25,Shawbury,Australia,NA
100130,Brad Walker,sarah52@example.org,Home & Kitchen,Ceramic Mug Set,8,245.3,1962.4,18/10/24,Hortonberg,U.S.A,Credit Card
100132,Bryan Allen,fbrown@example.net,Apparel,Running Shoes,1,217.12,217.12,17/10/25,Lake Douglas,England,Upi
100133,Lucas Allen,qlopez@example.org,Apparel,Wool Sweater,6,231.46,1388.76,10/08/25,Carloshaven,NA,Credit Card
100134,Rachel Romero,myerstheodore@example.net,Home & Kitchen,LED Desk Lamp,6,166.93,1001.58,30/06/25,Jontown,NA,Credit Card
100136,Melinda Pollard,zwelch@example.org,Beauty,Face Moisturizer,4,195.74,782.96,11/06/24,Johnsonborough,Australia,NA
100137,Curtis Williams,zachary87@example.com,Beauty,Face Moisturizer,6,102.52,615.12,17/10/24,West Michael,India,Upi
100138,Sharon Rivera,lloydsamuel@example.com,Electronics,Bluetooth Speaker,8,57.57,460.56,18/03/26,Morganburgh,U.S.A,Credit Card
100140,Garrett Phillips,bmorrison@example.org,Apparel,Running Shoes,2,246.36,492.72,02/07/26,Sergiostad,NA,Upi
100141,Jessica Fowler,jonesdana@example.com,Apparel,Baseball Cap,2,80.78,161.56,10/01/25,North Douglas,Australia,Credit Card
100142,Rachael Johnson,youngdeanna@example.com,Home & Kitchen,Non-Stick Pan,6,36.44,218.64,27/06/25,New Ericmouth,Australia,Net Banking
100143,Jacqueline Hines,alyssasanders@example.net,Electronics,Webcam HD,3,44.68,134.04,04/12/25,North Jillfort,United Kingdom,Cash On Delivery
100144,Susan Wilson,jane39@example.com,Home & Kitchen,Ceramic Mug Set,2,128.13,256.26,02/10/26,Gonzalezberg,U.S.A,Net Banking
100145,Jodi Roach,zosborn@example.net,Sports,Yoga Mat,1,24.9,24.9,29/08/26,Elizabethland,United Kingdom,Cash On Delivery
100146,Donna Evans,jenniferho@example.net,Beauty,Hair Dryer,5,123.32,616.6,26/01/25,Williamville,England,Credit Card
100148,Patricia Morrow,martinezlogan@example.org,Sports,Yoga Mat,8,35.02,280.16,15/08/25,Davidside,India,Upi
100149,Catherine Burch,NA,Beauty,Shampoo 500ml,3,204.3,612.9,04/10/25,Fredmouth,U.S.A,Upi
100150,Courtney Meza,meghan43@example.net,Beauty,Face Moisturizer,7,128.83,901.81,21/08/26,Davidport,Australia,Debit Card
100151,Anna Davidson,georgeweber@example.net,Sports,Jump Rope,1,212.56,212.56,25/05/25,Port Michelleland,England,Net Banking
100153,Dr. Michael Evans,barkereric@example.com,Home & Kitchen,LED Desk Lamp,6,189.97,1139.82,09/09/25,West Catherine,Canada,Credit Card
100154,Nathan Gross,theresa25@example.net,Home & Kitchen,Throw Pillow,3,153.53,460.59,05/11/25,NA,Australia,Net Banking
100155,David Davis,sonia96@example.org,Sports,Water Bottle 1L,8,178.64,1429.12,25/08/26,Port Mark,United Kingdom,Net Banking
100157,Tracy Lewis,brandon47@example.net,Apparel,Cotton T-Shirt,2,51.74,103.48,27/06/26,Mitchelltown,U.S.A,Cash On Delivery
100158,Jessica Khan,kathryn50@example.com,Beauty,Face Moisturizer,4,142.42,569.68,28/10/24,West Angela,Australia,NA
100159,Jonathan Duran,marcia99@example.org,Sports,Water Bottle 1L,5,154.47,772.35,24/12/24,South Nathanielmouth,United Kingdom,Debit Card
100161,Larry Robertson,sarah52@example.com,Apparel,Running Shoes,2,89.86,179.72,15/09/26,Brittneyhaven,Canada,Net Banking
100162,Kim Erickson,thomas05@example.com,Sports,Water Bottle 1L,4,64.4,257.6,26/01/26,Silvatown,U.S.A,Upi
100163,Deborah Rios,jennifersilva@example.org,Beauty,Face Moisturizer,3,6.27,18.81,10/09/25,Hernandezbury,Canada,Upi
100164,Travis Rodriguez,alexanderrobert@example.com,Apparel,Running Shoes,1,227.44,227.44,02/07/26,Shawfort,U.S.A,Credit Card
100165,Nancy Brown,aprilhoffman@example.net,Beauty,Shampoo 500ml,1,249.31,249.31,09/05/25,Edwardsburgh,U.S.A,Net Banking
100166,Joseph Payne,chelsea33@example.com,Electronics,Bluetooth Speaker,8,222.87,1782.96,11/02/25,West Kellie,Canada,Credit Card
100168,Jennifer Reed,kellyroberts@example.net,Beauty,Hair Dryer,7,168.97,1182.79,17/11/24,Douglasfort,Canada,Upi
100169,Ronald Nelson,derrick99@example.org,Beauty,Lipstick Matte,5,147.7,738.5,17/03/25,Lake Jesse,United Kingdom,Credit Card
100170,Gary Kennedy,adampierce@example.org,Home & Kitchen,Ceramic Mug Set,5,174.12,870.6,15/07/25,Woodsborough,United Kingdom,NA
100171,Donna Mitchell,velezchristopher@example.net,Apparel,Wool Sweater,6,106.88,641.28,03/09/25,East Robertburgh,Australia,Cash On Delivery
100172,Amanda Huff,vlopez@example.com,Electronics,Webcam HD,6,24.14,144.84,23/06/26,West Ashleyville,Australia,Net Banking
100174,Jimmy Scott,alexisrogers@example.com,Apparel,Baseball Cap,1,141.91,141.91,10/11/25,East Cheryl,India,Credit Card
100175,Jennifer Patterson,christopher12@example.org,Sports,Yoga Mat,1,176.59,176.59,09/05/25,North Jose,India,Upi
100176,Paul Finley,brandi90@example.com,Apparel,Wool Sweater,7,114.89,804.23,01/11/26,North Elizabeth,NA,Net Banking
100177,Christopher Parks,hannah45@example.net,Home & Kitchen,Non-Stick Pan,7,134.57,941.99,03/01/25,South Eric,India,Cash On Delivery
100178,Lisa Perry,ztodd@example.net,Beauty,Hair Dryer,4,65.64,262.56,17/05/26,Lake Karen,U.S.A,Cash On Delivery
100179,Angela Griffin,christian91@example.org,Sports,Yoga Mat,2,29.72,59.44,19/05/26,New Amanda,India,Credit Card
100180,Scott Ramos,jenniferburns@example.net,Apparel,Cotton T-Shirt,5,62.37,311.85,08/12/25,South Davidchester,United Kingdom,Credit Card
100182,,ajohnson@example.org,Beauty,Hair Dryer,7,105.02,735.14,04/06/26,Brooksfurt,Australia,Credit Card
100183,Thomas Bennett,vegadorothy@example.net,Apparel,Wool Sweater,7,242.11,1694.77,27/12/24,Davidside,Canada,Debit Card
100184,Cameron Irwin,avilatiffany@example.com,Electronics,Laptop Stand,2,136.23,272.46,26/01/26,Patelbury,England,Credit Card
100185,Gregory Hill,johnsondonna@example.net,Sports,Dumbbell Set,4,218.02,872.08,04/03/26,East Jamieville,U.S.A,Cash On Delivery
100186,Jill Powers,sanchezbradley@example.com,Apparel,Baseball Cap,7,229.21,1604.47,11/03/25,Port Michelle,Canada,Debit Card
100187,Jonathan Roberts,barbara53@example.com,Sports,Jump Rope,8,191.6,1532.8,23/06/26,South Kevin,United Kingdom,Credit Card
100188,Travis Hobbs,conniesimmons@example.com,Electronics,Bluetooth Speaker,7,50,350,25/10/24,Shellyfurt,Canada,Cash On Delivery
100189,Emma Butler,kevinwhite@example.net,Home & Kitchen,LED Desk Lamp,8,241.79,1934.32,09/02/25,West Meredith,Canada,Credit Card
100190,Joel Brown,NA,Beauty,Shampoo 500ml,1,133.37,133.37,28/12/24,West James,India,Credit Card
100192,Kristin Mendoza,kevin03@example.org,Electronics,Wireless Mouse,5,136.26,681.3,25/08/26,Lake Yvonnefort,Canada,Credit Card
100193,Melissa Padilla,jherman@example.com,Apparel,Denim Jacket,5,204.73,1023.65,04/10/26,Owensstad,India,Credit Card
100194,Unknown,ugarcia@example.com,Home & Kitchen,Non-Stick Pan,1,27.91,27.91,31/03/26,Robinstad,Canada,Credit Card
100195,Angel Shields,allentran@example.net,Beauty,Lipstick Matte,2,224.22,448.44,18/11/25,Phillipsborough,U.S.A,Credit Card
100196,James Whitaker,rpierce@example.com,Home & Kitchen,Cutting Board,1,48.94,48.94,28/03/25,Levyfort,U.S.A,Cash On Delivery
100197,Nicholas Bell,jenniferfreeman@example.net,Electronics,Bluetooth Speaker,4,143.84,575.36,14/09/26,New Arthurland,England,Cash On Delivery
100198,Mary Duran,otaylor@example.org,Sports,Water Bottle 1L,7,61.88,433.16,11/09/24,North Jeffery,Australia,Credit Card
100199,Antonio Little,bhopkins@example.org,Home & Kitchen,Throw Pillow,6,140.49,842.94,15/10/25,NA,Australia,Debit Card
100200,Kimberly Mitchell,ldrake@example.org,Electronics,Wireless Mouse,7,179.36,1255.52,24/07/26,East James,United Kingdom,Credit Card
100201,Robin Adams,zmiller@example.com,Beauty,Lipstick Matte,2,37.46,74.92,11/08/25,West Gabriella,Australia,Credit Card
100202,Martha Garrison,davisnicholas@example.net,Sports,Yoga Mat,6,216.61,1299.66,09/03/25,Lake Georgefort,Canada,Credit Card
100203,Maria Rivera,jacobsonsamantha@example.org,Sports,Resistance Bands,3,39.02,117.06,22/02/25,Nelsonland,U.S.A,Debit Card
100204,Diana Daniels,whitemelissa@example.org,Home & Kitchen,Throw Pillow,6,66.67,400.02,24/08/26,Port Lori,Australia,Credit Card
100205,Tanya Evans,NA,Home & Kitchen,Non-Stick Pan,6,211.2,1267.2,08/07/26,Patrickberg,NA,Cash On Delivery
100206,,brian63@example.org,Apparel,Running Shoes,4,122.36,489.44,27/05/25,Novakmouth,NA,Net Banking
100207,,NA,Home & Kitchen,Throw Pillow,7,94.43,661.01,08/02/25,Millerport,Australia,Cash On Delivery
100208,Michelle Miller,normanbowers@example.org,Electronics,Laptop Stand,4,112.42,449.68,15/03/26,Michaelland,Canada,Credit Card
100209,Eric Ward,curtis12@example.com,Apparel,Wool Sweater,2,115.02,230.04,15/08/25,Garcialand,Canada,Cash On Delivery
100210,Brandon George,michelle04@example.com,Sports,Yoga Mat,6,176.9,1061.4,07/01/25,Lake Rachelbury,India,Debit Card
100211,Carolyn James,josephadams@example.org,Sports,Yoga Mat,7,241.87,1693.09,11/06/24,Hillport,India,Credit Card
100212,Mr. David Wright,mwheeler@example.com,Sports,Dumbbell Set,4,114.22,456.88,12/08/24,Adamfurt,Australia,Credit Card
100213,Manuel Brock,scott69@example.org,Beauty,Face Moisturizer,3,90.34,271.02,28/04/25,South Leon,Australia,NA
100214,Tracy Carter,yfaulkner@example.org,Home & Kitchen,Non-Stick Pan,2,10.53,21.06,17/05/25,Lisafurt,U.S.A,Debit Card
100215,Timothy Gonzalez,erinpierce@example.net,Beauty,Sunscreen SPF50,7,159.29,1115.03,24/08/25,South Lauren,Canada,Upi
100216,Andrea Abbott,ichambers@example.net,Beauty,Sunscreen SPF50,3,55.42,166.26,30/04/25,Donnachester,Australia,Debit Card
100217,Angela Ewing,NA,Apparel,Wool Sweater,8,134.29,1074.32,28/07/26,Stephensstad,Canada,Debit Card
100218,Robin Wheeler,rodriguezjohn@example.net,Sports,Resistance Bands,5,230.08,1150.4,06/07/25,New Tonyafurt,United Kingdom,Credit Card
100219,Erin Hogan,smithjonathan@example.net,Home & Kitchen,Ceramic Mug Set,7,151.12,1057.84,20/03/26,South Neil,NA,Cash On Delivery
100220,Michael Vaughn,michaeljohnson@example.org,Sports,Resistance Bands,3,50.84,152.52,24/04/25,North Marieberg,India,Credit Card
100221,Grant Mueller,gbailey@example.com,Sports,Dumbbell Set,7,172.75,1209.25,03/02/26,Floresport,Canada,Credit Card
100222,Michael Johnson,NA,Home & Kitchen,Non-Stick Pan,5,46.21,231.05,26/01/25,West Anita,Australia,Credit Card
100223,Crystal Sullivan,jacobsandoval@example.com,Sports,Water Bottle 1L,1,191.2,191.2,10/12/24,South Brittany,Canada,Credit Card
100224,Michael Harris,raylauren@example.net,Electronics,Laptop Stand,2,112.57,225.14,02/04/25,Jamesville,U.S.A,Net Banking
100225,Scott Rose,candice96@example.net,Beauty,Shampoo 500ml,4,204.31,817.24,13/12/24,Meganburgh,United Kingdom,Cash On Delivery
100226,Michele Evans,NA,Home & Kitchen,Cutting Board,2,38.22,76.44,05/02/25,West Heather,India,Credit Card
100227,Unknown,fhenderson@example.net,Apparel,Running Shoes,7,124.92,874.44,18/10/25,New Garrett,Canada,Cash On Delivery
100228,,glennstephanie@example.com,Beauty,Hair Dryer,6,116.4,698.4,29/12/24,Maynardhaven,India,Cash On Delivery
100229,Jennifer Vasquez,fburns@example.net,Electronics,Webcam HD,7,207.09,1449.63,13/10/24,West Antonio,United Kingdom,Upi
100230,Dylan Norman,hdunn@example.net,Electronics,Wireless Mouse,8,8.99,71.92,13/12/24,Amberton,Canada,Upi
100232,Xavier Rowe,jasonrojas@example.net,Apparel,Wool Sweater,2,5.27,10.54,06/04/25,Martinberg,Australia,Credit Card
100233,Robin Trujillo,amanda98@example.org,Electronics,Laptop Stand,8,50,400,15/05/25,Keithview,India,NA
100234,Kayla Mccullough,taylorkaren@example.com,Apparel,Cotton T-Shirt,1,154.53,154.53,24/07/26,Michelleberg,U.S.A,Upi
100235,Brandi Thomas,maria67@example.org,Electronics,Wireless Mouse,2,149.45,298.9,17/11/25,Courtneyfurt,United Kingdom,Cash On Delivery
